"record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","genus","species","taxa","plot_type"
21631,6,14,1994,1,"DM","M",38,42,"Dipodomys","merriami","Rodent","Spectab exclosure"
10821,9,22,1985,13,"DM","M",35,49,"Dipodomys","merriami","Rodent","Short-term Krat Exclosure"
34418,7,13,2002,1,"DM","M",37,50,"Dipodomys","merriami","Rodent","Spectab exclosure"
14383,4,18,1988,18,"OT","M",17,9,"Onychomys","torridus","Rodent","Short-term Krat Exclosure"
32529,8,26,2001,11,"PE","M",19,18,"Peromyscus","eremicus","Rodent","Control"
23790,4,15,1996,3,"PF","M",15,7,"Perognathus","flavus","Rodent","Long-term Krat Exclosure"
25460,4,12,1997,18,"PP","M",22,19,"Chaetodipus","penicillatus","Rodent","Short-term Krat Exclosure"
4566,6,5,1981,11,"PP","F",22,18,"Chaetodipus","penicillatus","Rodent","Control"
8229,8,16,1983,5,"DS","M",49,120,"Dipodomys","spectabilis","Rodent","Rodent Exclosure"
2947,5,17,1980,1,"DS","M",48,102,"Dipodomys","spectabilis","Rodent","Spectab exclosure"
29907,10,10,1999,6,"OT","M",20,23,"Onychomys","torridus","Rodent","Short-term Krat Exclosure"
23938,5,23,1996,18,"PF","M",15,7,"Perognathus","flavus","Rodent","Short-term Krat Exclosure"
25582,4,13,1997,9,"OL","F",21,38,"Onychomys","leucogaster","Rodent","Spectab exclosure"
7443,2,27,1983,14,"DM","F",37,39,"Dipodomys","merriami","Rodent","Control"
25636,4,13,1997,8,"DO","M",38,48,"Dipodomys","ordii","Rodent","Control"
3407,11,8,1980,20,"DM","M",35,40,"Dipodomys","merriami","Rodent","Short-term Krat Exclosure"
28092,6,28,1998,3,"PB","M",28,27,"Chaetodipus","baileyi","Rodent","Long-term Krat Exclosure"
29604,5,15,1999,20,"PP","M",20,19,"Chaetodipus","penicillatus","Rodent","Short-term Krat Exclosure"
34631,7,14,2002,13,"PP","F",22,11,"Chaetodipus","penicillatus","Rodent","Short-term Krat Exclosure"
3767,1,12,1981,11,"DS","M",49,128,"Dipodomys","spectabilis","Rodent","Control"
29418,3,15,1999,5,"OT","M",19,24,"Onychomys","torridus","Rodent","Rodent Exclosure"
31790,3,3,2001,1,"PB","M",27,36,"Chaetodipus","baileyi","Rodent","Spectab exclosure"
13000,7,1,1987,5,"DO","M",37,60,"Dipodomys","ordii","Rodent","Rodent Exclosure"
8624,11,12,1983,24,"NL","F",32,178,"Neotoma","albigula","Rodent","Rodent Exclosure"
30464,3,4,2000,18,"PB","M",25,26,"Chaetodipus","baileyi","Rodent","Short-term Krat Exclosure"
6015,6,28,1982,4,"DM","M",37,50,"Dipodomys","merriami","Rodent","Control"
10111,3,17,1985,15,"DM","F",39,43,"Dipodomys","merriami","Rodent","Long-term Krat Exclosure"
